"Demand" "Mead.PE" "Powell.PE" "Scenario" "TraceNumber" "mean" "median" "min" "max" "Driest2yrAVG" "Wettest2yrAVG" "Driest5yrAVG" "Wettest5yrAVG" "Driest8yrAVG" "Wettest8yrAVG" "Driest10yrAVG" "Wettest10yrAVG" "Driest20yrAVG" "Wettest20yrAVG" "LowQ.MaxDur" "LowQ.Freq" "HighQ.MaxDur" "HighQ.Freq" "NonHighQ.MaxDur" "LowQ.AvgDur" "HighQ.AvgDur" "NonHighQ.AvgDur"
"1000695" 4.32996854209341 1173.33918271353 3476.65264128009 "DPNF" 782 14.2924615173182 14.29464171 5.576277473 21.57408782 8.2768014565 19.16171724 10.2533619328 17.639392946 11.367758453 17.243762745 12.1986147024 16.703174222 12.9856526871 15.802958744 3 14 2 10 8 2 1.42857142857143 4.25
"1706158" 5.57820714265108 1121.67471120832 3513.93907354795 "PCNF" 244 14.77973125 14.859593 5.442594 25.425589 8.303328 23.976186 9.5536324 18.5345782 10.349143625 16.27601175 11.5309593 16.8758957 13.2909237 15.1001162 5 21 2 16 5 2.1 1.33333333333333 2.54545454545455
"1495464" 4.51168600721285 1149.25515668932 3642.56536139874 "PCNF" 33 16.4324033181818 15.865937 8.496102 24.426364 8.955005 23.4765735 11.514343 19.7256896 13.904243375 19.22391225 14.7297984 18.1061997 15.75182595 17.1628554 3 9 3 17 7 1.8 1.88888888888889 3
"1862813" 4.96699304147623 1153.58929237467 3474.11257598433 "PCNF" 400 12.9804995227273 11.441432 5.442594 24.426364 7.992541 21.6518355 8.258899 19.186376 9.301865875 19.269573125 9.514329 18.7717012 10.27108215 16.2611001 10 27 3 10 26 5.4 1.66666666666667 4.85714285714286
"447070" 4.76809136602096 1134.4536231237 3604.14582233643 "DPNF" 229 14.5099348768864 14.705808585 6.689967063 21.18265326 8.157824257 20.30921596 11.7886280786 18.385636106 13.076794944125 16.6700073875 13.3105370176 15.817450017 13.61804630245 15.125554502 3 11 4 11 9 1.83333333333333 2.2 5.5
"1475238" 5.90341088231653 1031.86610287172 3559.00937570259 "PCNF" 13 14.9204335909091 14.5258715 5.442594 22.526783 8.061219 19.9823465 11.0158086 18.8454488 12.878062125 17.405957125 12.3745002 17.0536724 14.50010245 16.74083065 3 17 2 14 6 1.7 1.16666666666667 2.5
"1356865" 4.8604779206682 1071.69416051591 3641.4534201147 "DPNF" 1138 15.5690848503636 15.534536795 6.783040836 22.34227607 8.648547228 20.418948145 11.2433004132 18.241313018 12.89080697075 18.10233906125 13.3503904616 17.792523113 15.168983474 17.014924675 4 7 3 15 9 1.75 1.66666666666667 3.22222222222222
"35168" 5.98055895511061 1133.58002368594 3499.55540955998 "ObsRes" 36 14.3915723409091 14.544513 5.360698 24.344044 8.201571 23.964779 11.4358556 18.314852 12.16304925 16.18826275 12.2503228 15.7083267 12.92123295 15.0582174 4 15 2 10 10 2.14285714285714 1.25 4.85714285714286
"455448" 4.39573263586499 1107.25300478865 3599.42912216065 "DPNF" 237 14.2153198233864 13.87015563 8.992482506 21.18265326 9.917824755 19.160340615 11.7886280786 16.618590864 13.076794944125 16.14102799125 13.3105370176 15.632954267 13.61804630245 15.3726266505 2 12 2 8 9 1.5 1.6 6
"1816833" 4.80875735655427 1123.30873811035 3565.14779538265 "PCNF" 354 14.1831796590909 13.804599 5.442594 23.186994 8.1511255 19.9944565 10.4016836 18.1483302 12.361578125 16.992876625 12.2234285 17.0438242 12.872047 14.98781995 3 18 1 9 11 2 1 3.88888888888889
"991355" 4.80748681593686 1025.03299576812 3501.84720639372 "DPNF" 773 14.9353154502045 15.06342574 6.081951091 21.57408782 9.9553606555 19.16171724 11.5392202762 17.639392946 12.840672246375 17.243762745 13.6858889461 16.703174222 14.1423907754 15.802958744 2 10 2 11 8 1.42857142857143 1.22222222222222 3.66666666666667
