"method" "n" "iter" "mindist" "MSTmean" "MSTsd"
"1" "cLHS" 50 1 0.222861141513046 0.43502944745342 0.0805260289327052
"2" "cLHS" 50 2 0.148678883596877 0.413588911162121 0.117216969139192
"3" "cLHS" 50 3 0.181078092921141 0.416486545585648 0.100153943749808
"4" "cLHS" 50 4 0.325530426421849 0.480356399888011 0.0914699626587516
"5" "cLHS" 50 5 0.184467991059986 0.447326774657283 0.101321082306113
"6" "cLHS" 50 6 0.231565378701021 0.446679084512625 0.0962549981364454
"7" "cLHS" 50 7 0.181485758988075 0.426384447208724 0.0927408441733683
"8" "cLHS" 50 8 0.17462999856775 0.386456739825103 0.115722730342874
"9" "cLHS" 50 9 0.237898604509939 0.431711257985214 0.0951805021067241
"10" "cLHS" 50 10 0.269729335433587 0.441194502278611 0.120928000471397
"11" "cLHS" 50 11 0.260968487405479 0.438364850084262 0.0839071652921878
"12" "cLHS" 50 12 0.209161646905404 0.427784787729304 0.0855729375141376
"13" "cLHS" 50 13 0.216099085195442 0.438250492609432 0.0940231641557147
"14" "cLHS" 50 14 0.235724519846415 0.408496338981133 0.109180606585977
"15" "cLHS" 50 15 0.192640977103016 0.422228710971529 0.0876661569593092
"16" "cLHS" 50 16 0.209219523886095 0.437207257441432 0.102496075873971
"17" "cLHS" 50 17 0.171173303830931 0.43132322505687 0.122106667690237
"18" "cLHS" 50 18 0.174820093507281 0.423311580670783 0.0849950203064359
"19" "cLHS" 50 19 0.215339619918853 0.436221822874793 0.0969124418189052
"20" "cLHS" 50 20 0.254170351440927 0.433083809019754 0.0900350733277193
"21" "cLHS" 50 21 0.156764581502256 0.456848145239457 0.0992052560296937
"22" "cLHS" 50 22 0.239170377652401 0.44869086831881 0.0996606844970501
"23" "cLHS" 50 23 0.173038074274612 0.420681511315821 0.113417318620126
"24" "cLHS" 50 24 0.229680670140863 0.441169115900808 0.108766501561741
"25" "cLHS" 50 25 0.211172018028194 0.409530603572712 0.0953407538676751
"26" "cLHS" 50 26 0.17898011205874 0.417082043256715 0.115898141863424
"27" "cLHS" 50 27 0.254160610073442 0.432624485326069 0.102429988137144
"28" "cLHS" 50 28 0.278321679014008 0.457032357047844 0.117080411802269
"29" "cLHS" 50 29 0.214886057211692 0.382909325720817 0.130483167649383
"30" "cLHS" 50 30 0.292278096851753 0.435326046922255 0.0895899695273766
"31" "cLHS" 100 1 0.156474030716901 0.335741461375692 0.0842314917053519
"32" "cLHS" 100 2 0.168192021492801 0.341030186313421 0.0837134314914971
"33" "cLHS" 100 3 0.213780979118372 0.371869316430777 0.06737100492868
"34" "cLHS" 100 4 0.121679743583386 0.348211297477325 0.0823771233708151
"35" "cLHS" 100 5 0.176108319885182 0.348068322739326 0.0854233355552833
"36" "cLHS" 100 6 0.141285161643744 0.350721808486478 0.083392223168957
