"method" "n" "iter" "satisficing.M1000" "satisficing.LB.Dur" "satisficing.LB.Max" "satisficing.aggregated" "regret_best.M1000" "regret_best.LB.Dur" "regret_best.LB.Max"
"1" "clhs" 50 1 0.946126043796539 0.955900132656097 0.982833325862885 0.945382118225098 0.961007475852966 0.952410042285919 0.936099946498871
"2" "clhs" 50 2 0.953691303730011 0.943011522293091 0.987457931041718 0.952341675758362 0.946653068065643 0.937975108623505 0.950020790100098
"3" "clhs" 50 3 0.949481904506683 0.942097127437592 0.980719685554504 0.951546251773834 0.939770340919495 0.941094517707825 0.886387586593628
"4" "clhs" 50 4 0.951760172843933 0.942343652248383 0.97915643453598 0.937475860118866 0.926380336284637 0.893209755420685 0.933578789234161
"5" "clhs" 50 5 0.958630263805389 0.935910820960999 0.981915712356567 0.94975757598877 0.947697520256042 0.936932682991028 0.882604539394379
"6" "clhs" 50 6 0.93600207567215 0.92592316865921 0.984006106853485 0.927397012710571 0.941124081611633 0.914687752723694 0.915430903434753
"7" "clhs" 50 7 0.944547176361084 0.93961638212204 0.984819173812866 0.939900755882263 0.940299332141876 0.906971096992493 0.956724345684052
"8" "clhs" 50 8 0.95571768283844 0.940938353538513 0.977441906929016 0.936200201511383 0.911390483379364 0.908690571784973 0.92132955789566
"9" "clhs" 50 9 0.954535901546478 0.926052272319794 0.984246969223022 0.949439764022827 0.935906112194061 0.890036404132843 0.866334080696106
"10" "clhs" 50 10 0.954310119152069 0.93697714805603 0.982598483562469 0.941488981246948 0.937438666820526 0.943683564662933 0.96504932641983
"11" "clhs" 50 11 0.953024208545685 0.943211555480957 0.983310997486115 0.939860880374908 0.937870919704437 0.91037780046463 0.889866352081299
"12" "clhs" 50 12 0.950255930423737 0.939818203449249 0.985148131847382 0.931704640388489 0.955292046070099 0.936580002307892 0.969903171062469
"13" "clhs" 50 13 0.936593949794769 0.9542515873909 0.987696826457977 0.933468341827393 0.948126494884491 0.931952595710754 0.953645467758179
"14" "clhs" 50 14 0.942649960517883 0.946297883987427 0.978214979171753 0.936673164367676 0.941642940044403 0.936789095401764 0.891717791557312
"15" "clhs" 50 15 0.947417676448822 0.943419694900513 0.981165945529938 0.929212331771851 0.94080924987793 0.926259160041809 0.949833929538727
"16" "clhs" 50 16 0.950746476650238 0.943930685520172 0.982028901576996 0.948624789714813 0.943825840950012 0.956210494041443 0.944229543209076
"17" "clhs" 50 17 0.948184072971344 0.929746925830841 0.986793398857117 0.932909071445465 0.934442102909088 0.902224004268646 0.945765197277069
"18" "clhs" 50 18 0.946017324924469 0.939420163631439 0.985223710536957 0.929684937000275 0.94342178106308 0.941052913665771 0.944014668464661
